productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
BW2-160,Police Car Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-160.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-160,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-161,Garbage Truck,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-161.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-161,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-179,Jet Fighter Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-179.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-179,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-180,Cessna,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-180.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-180,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-190,Fish,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed in a clear bottle on a beautiful Walnut base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-190.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-190,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-195,Race Car,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-195.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-195,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-345,F-18 Aircraft Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-345.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-345,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-348,Submarine Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-348.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-348,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-419,New Telephone Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-419.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-419,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-420,Bus Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-420.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-420,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-421,Kayak Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-421.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-421,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW2-426,Laptop Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW2-426.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW2-426,1,108,C,5,97,C,25,88,C,100,81,C,,,,,,
BW3-125,18-Wheeler,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-125.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-125,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-126,Train Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-126.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-126,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-130,Oil Tanker,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-130.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-130,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-133,18-Wheeler Gravel Truck Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-133.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-133,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-136,Jet Plane,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-136.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-136,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-162,Blimp Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-162.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-162,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-163,Cement Mixer,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-163.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-163,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-164,Helicopter Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-164.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-164,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
BW3-166,Fire Truck Business Card Sculpture,18,Professional Gallery,Professional Gallery,Business Cards In A Bottle,A hand crafted business card sculpture will be made from your business cards and then placed under a clear dome on a beautiful Walnut or Base. Each award is individually packed for shipment.,56301 | Saint Cloud | MN,"Add $5.00 (C) for 2 line brass plate, each. Optional Clear Acrylic box with Walnut base (option ABW) or Clear Acrylic box with Marble base (option ABM) are available.",BW3-166.jpg,"Bottle: 8-1/2"" x 4-3/4"" x 4-1/4"", Base: 6"" x 3-1/2"", Clear Acrylic Box (Optional): 7” x 4” x 4"", Walnut Base (Optional): 8” x 5”, Marble Base (Optional): 8” x 5”","Black, Walnut",Optional 2 line personalized brass plate.,Silkscreen,,3 lbs. per 1 units,7 working days.,,,,,,No set-up charge.,,,,3,12,8,6,1,BW3-166,1,117,C,5,105,C,25,96,C,100,88,C,,,,,,
